id,new_cases,new_deaths
0,105.292366,3.6470232
1,102.25483,4.7734385
2,101.61134,5.1243215
3,101.45292,5.2340465
4,101.40932,5.268419
5,101.3965,5.279195
6,101.39259,5.2825747
7,101.39138,5.2836347
8,101.391,5.283967
9,101.390884,5.2840714
10,101.39085,5.2841053
11,101.39085,5.284115
12,101.39083,5.284117
13,101.39083,5.2841187
14,101.39083,5.2841187
15,101.39083,5.2841187
16,101.39083,5.2841187
17,101.39083,5.2841187
18,101.39083,5.2841187
19,101.39083,5.2841187
20,101.39083,5.2841187
21,101.39083,5.2841187
22,101.39083,5.2841187
23,101.39083,5.2841187
24,101.39083,5.2841187
25,101.39083,5.2841187
26,101.39083,5.2841187
27,101.39083,5.2841187
28,101.39083,5.2841187
29,101.39083,5.2841187
30,101.39083,5.2841187
31,17.633348,0.9738355
32,17.86524,0.96787804
33,17.898607,0.9663253
34,17.903543,0.96588254
35,17.904316,0.9657498
36,17.90445,0.96570903
37,17.904476,0.96569633
38,17.904484,0.96569246
39,17.904484,0.96569115
40,17.904486,0.9656909
41,17.904486,0.96569073
42,17.904486,0.96569073
43,17.904486,0.96569073
44,17.904486,0.96569073
45,17.904486,0.96569073
46,17.904486,0.96569073
47,17.904486,0.96569073
48,17.904486,0.96569073
49,17.904486,0.96569073
50,17.904486,0.96569073
51,17.904486,0.96569073
52,17.904486,0.96569073
53,17.904486,0.96569073
54,17.904486,0.96569073
55,17.904486,0.96569073
56,17.904486,0.96569073
57,17.904486,0.96569073
58,17.904486,0.96569073
59,17.904486,0.96569073
60,17.904486,0.96569073
61,17.904486,0.96569073
62,125.242615,8.862428
63,114.63697,9.34613
64,113.06945,9.483753
65,112.824745,9.524944
66,112.78267,9.537588
67,112.77433,9.541514
68,112.77241,9.542742
69,112.7719,9.543126
70,112.77175,9.543246
71,112.77171,9.543283
72,112.77169,9.543296
73,112.77169,9.5433
74,112.77169,9.543301
75,112.77169,9.543302
76,112.77169,9.543302
77,112.77169,9.543302
78,112.77169,9.543302
79,112.77169,9.543302
80,112.77169,9.543302
81,112.77169,9.543302
82,112.77169,9.543302
83,112.77169,9.543302
84,112.77169,9.543302
85,112.77169,9.543302
86,112.77169,9.543302
87,112.77169,9.543302
88,112.77169,9.543302
89,112.77169,9.543302
90,112.77169,9.543302
91,112.77169,9.543302
92,112.77169,9.543302
93,2.617186,0.25162485
94,3.010413,0.30205572
95,3.059941,0.30678096
96,3.066265,0.30742696
97,3.0670705,0.30750826
98,3.067173,0.30751863
99,3.067186,0.30751997
100,3.0671878,0.30752015
101,3.067188,0.3075202
102,3.067188,0.30752018
103,3.067188,0.3075202
104,3.067188,0.30752018
105,3.067188,0.3075202
106,3.067188,0.30752018
107,3.067188,0.3075202
108,3.067188,0.30752018
109,3.067188,0.3075202
110,3.067188,0.30752018
111,3.067188,0.3075202
112,3.067188,0.30752018
113,3.067188,0.3075202
114,3.067188,0.30752018
115,3.067188,0.3075202
116,3.067188,0.30752018
117,3.067188,0.3075202
118,3.067188,0.30752018
119,3.067188,0.3075202
120,3.067188,0.30752018
121,3.067188,0.3075202
122,3.067188,0.30752018
123,3.067188,0.3075202
124,0.43527833,0.0
125,0.4951507,0.0
126,0.50339055,0.0
127,0.5045246,0.0
128,0.50468063,0.0
129,0.5047022,0.0
130,0.5047052,0.0
131,0.50470555,0.0
132,0.50470555,0.0
133,0.50470555,0.0
134,0.50470555,0.0
135,0.50470555,0.0
136,0.50470555,0.0
137,0.50470555,0.0
138,0.50470555,0.0
139,0.50470555,0.0
140,0.50470555,0.0
141,0.50470555,0.0
142,0.50470555,0.0
143,0.50470555,0.0
144,0.50470555,0.0
145,0.50470555,0.0
146,0.50470555,0.0
147,0.50470555,0.0
148,0.50470555,0.0
149,0.50470555,0.0
150,0.50470555,0.0
151,0.50470555,0.0
152,0.50470555,0.0
153,0.50470555,0.0
154,0.50470555,0.0
155,0.6721279,0.0
156,0.43778434,0.0
157,0.5204309,0.0
158,0.49160203,0.0
159,0.5016824,0.0
160,0.4981612,0.0
161,0.49939162,0.0
162,0.49896172,0.0
163,0.49911192,0.0
164,0.49905944,0.0
165,0.4990778,0.0
166,0.49907136,0.0
167,0.49907362,0.0
168,0.49907282,0.0
169,0.49907312,0.0
170,0.49907297,0.0
171,0.49907306,0.0
172,0.49907303,0.0
173,0.49907306,0.0
174,0.49907303,0.0
175,0.49907306,0.0
176,0.49907303,0.0
177,0.49907306,0.0
178,0.49907303,0.0
179,0.49907306,0.0
180,0.49907303,0.0
181,0.49907306,0.0
182,0.49907303,0.0
183,0.49907306,0.0
184,0.49907303,0.0
185,0.49907306,0.0
186,0.6721279,0.0
187,0.43778434,0.0
188,0.5204309,0.0
189,0.49160203,0.0
190,0.5016824,0.0
191,0.4981612,0.0
192,0.49939162,0.0
193,0.49896172,0.0
194,0.49911192,0.0
195,0.49905944,0.0
196,0.4990778,0.0
197,0.49907136,0.0
198,0.49907362,0.0
199,0.49907282,0.0
200,0.49907312,0.0
201,0.49907297,0.0
202,0.49907306,0.0
203,0.49907303,0.0
204,0.49907306,0.0
205,0.49907303,0.0
206,0.49907306,0.0
207,0.49907303,0.0
208,0.49907306,0.0
209,0.49907303,0.0
210,0.49907306,0.0
211,0.49907303,0.0
212,0.49907306,0.0
213,0.49907303,0.0
214,0.49907306,0.0
215,0.49907303,0.0
216,0.49907306,0.0
217,133.084,8.498849
218,129.33005,8.936455
219,128.72275,9.0691595
220,128.61232,9.110147
221,128.5889,9.122914
222,128.58315,9.126907
223,128.58156,9.128159
224,128.58109,9.12855
225,128.58095,9.128673
226,128.5809,9.128712
227,128.5809,9.128725
228,128.5809,9.128729
229,128.5809,9.12873
230,128.5809,9.12873
231,128.5809,9.12873
232,128.5809,9.12873
233,128.5809,9.12873
234,128.5809,9.12873
235,128.5809,9.12873
236,128.5809,9.12873
237,128.5809,9.12873
238,128.5809,9.12873
239,128.5809,9.12873
240,128.5809,9.12873
241,128.5809,9.12873
242,128.5809,9.12873
243,128.5809,9.12873
244,128.5809,9.12873
245,128.5809,9.12873
246,128.5809,9.12873
247,128.5809,9.12873
248,55.91654,0.92813927
249,63.496002,1.2992321
250,64.4751,1.4268686
251,64.58588,1.468485
